Project Lead,Institution,Datetime
Adrian Grzybowski,AnuBio,2025-12-09T21:59:52.291Z
Kamalika Roychoudhury,ThinkBio.Ai,2025-12-04T15:57:59.000Z
Virginia Pascual,Weill Cornell Medicine,2025-12-04T15:53:52.728Z
Inigo Martincorena,Wellcome Sanger Institute,2025-12-02T20:08:04.260Z
Hiroyuki Yoshitomi,Kyoto University,2025-12-01T23:25:33.027Z
Anela Tosevska,Medical University of Vienna,2025-12-01T23:22:46.842Z
Shiva Shahrara,University of Illinois Chicago,2025-11-19T18:04:57.406Z
Chikashi Terao,Shizuoka General Hospital,2025-11-13T19:03:31.240Z
"Radjesh Bisoendial, MD, PhD","Depts. Developmental Biology & Genetics, Erasmus MC, Rotterdam, Netherlands and Rheumatology & Clinical Immunology, Rotterdam, Netherlands ",2025-11-05T03:02:18.801Z
Naomi McGovern,"Department of Pathology, University of Cambridge, UK",2025-11-05T02:27:49.592Z
Mike Vestergaard,Commit Biologics ,2025-10-21T19:12:19.283Z
Chris Schiering,T-Therapeutics,2025-10-21T19:08:48.792Z
Hailey Hwang,Roslyn High School,2025-10-21T19:04:31.381Z
Karine Chemin,Karolinska Institutet,2025-10-16T22:06:00.304Z
"Professor E. Sally Ward, PhD, FRS",University of Southampton,2025-10-14T15:59:26.915Z
Achira Shah and Dr Robert Tower,UT Southwestern Medical Center,2025-10-14T15:48:54.912Z
Jennifer Westoby,Enhanced Genomics Ltd,2025-10-08T04:37:35.000Z
Erin Smith,"Mirador Therapeutics, Inc.",2025-10-03T21:45:07.293Z
Dr. Martin Lotz,Scripps. Research,2025-10-03T21:42:23.729Z
Monica Guma,University of California San Diego School of Medicine,2025-10-03T21:40:16.622Z
"Christian Geier, MD",SUNY Upstate Medical University,2025-10-03T21:37:40.394Z
Sarah Djeddi,Immunitas Therapeutics,2025-10-02T00:52:18.390Z
Daniel Toro Dominguez,Karolinska Institutet,2025-09-29T23:54:26.137Z
Inez den Hond,Leiden University Medical Center,2025-09-18T21:06:12.174Z
Robert Corty,Vanderbilt University Medical Center,2025-09-18T20:58:08.192Z
Joseph Cursons,Audax Biosciences,2025-09-10T00:30:05.246Z
Ernst Dow,Eli Lilly and Company,2025-09-10T00:27:53.831Z
Henry Wilson,Auron Therapeutics,2025-09-09T23:51:48.485Z
Elizabeth McMillan,Odyssey Therapeutics,2025-08-27T16:52:00.269Z
Amin Zia,Frontier Discovery Inc.,2025-08-27T16:49:02.236Z
Robert Lochhead,Medical College of Wisconsin,2025-08-02T00:35:51.897Z
Professor Erez Levanon,Bar Ilan University,2025-07-26T07:37:39.495Z
Jennifer Elisseeff,Johns Hopkins University,2025-07-21T16:58:59.217Z
Ido Amit,Weizmann  institute of science,2025-07-18T01:06:43.361Z
Yusuke Takeushi,Kyoto University,2025-07-09T16:03:41.699Z
Eric Gracey,Ghent University (Belgium),2025-06-26T23:25:01.967Z
Joyce Wu,Ohio State University,2025-06-26T23:10:26.221Z
"PIs: Richard Bucala, Insoo Kang",Yale University School of Medicine ,2025-06-17T01:04:32.047Z
Noah Siegel,Anaptysbio,2025-06-16T22:07:51.055Z
Paul Hoover,Brigham and Women's Hospital,2025-05-24T01:50:01.810Z
Han Taeho,"Korea Institute of Science and Technology, Seoul, South Korea",2025-05-24T01:34:09.026Z
Daniel L. Mueller,University of Minnesota Medical School,2025-05-22T23:03:22.300Z
shai shen-orr,CytoReason,2025-05-16T17:12:43.060Z
Maria Brbic,École Polytechnique Fédérale de Lausanne (EPFL),2025-05-15T20:29:01.049Z
Kriti Sharma,National Institute of Arthritis and Musculoskeletal and Skin Diseases,2025-05-09T20:04:37.214Z
Brendan Antiochos,Johns Hopkins School of Medicine,2025-05-03T00:28:56.987Z
Marinka Zitnik,Harvard Medical School,2025-05-02T21:23:53.474Z
Zihe Zheng,Helmholtz Munich,2025-05-02T21:20:11.417Z
Richard Bell,Hospital for Speacial Surgery,2025-04-24T23:13:45.782Z
Dr. Kushal Dey,Memorial Sloan Kettering Cancer Center,2025-04-24T23:08:19.273Z
Gerhard Krönke,University Clinic Erlangen,2025-04-11T15:01:20.861Z
Matteo Villa,"Division of Rheumatology and Immunology, Department of Internal Medicine, Medical University of Graz",2025-04-11T14:59:56.087Z
Duan Ni,The University of Sydney,2025-03-25T22:32:04.171Z
Hisakata Yamada,Kyushu University,2025-03-22T00:26:17.129Z
Jan Klocke,"Charité Universitätsmedizin Berlin,  Department of Nephrology and Medical Intensive Care ",2025-03-22T00:06:04.904Z
Dan Rozelle,"Rancho BioSciences, LLC",2025-03-22T00:01:46.318Z
Wan-Uk Kim,"Center for Integrative Rheumatoid Transcriptomics and Dynamics, The Catholic University of Korea, Seoul, Republic of Korea",2025-03-20T22:57:41.734Z
Elliot Akama-Garren,Harvard Medical School,2025-03-04T18:15:59.540Z
Matt Jackson-Wood,Gilead Sciences,2025-03-04T18:00:38.006Z
Takumi Ito,Juntendo University,2025-02-25T02:17:41.516Z
Kenian Chen,UT southwestern,2025-02-24T23:30:45.516Z
Darren Platt,Montage Bio,2025-02-24T17:53:00.038Z
Prof Maria Bokarewa,"Department of Rheumatology and Inflammation Research, Institution of Medicine, University of Gothenburg, Sweden",2025-02-11T19:29:56.864Z
Quan Yuan,"State Key Laboratory of Oral Diseases & National Center for Stomatology & National Clinical Research Center for Oral Diseases, West China Hospital of Stomatology, Sichuan University",2025-02-11T08:01:25.875Z
Dana Orange,Rockefeller University,2025-02-11T07:54:47.907Z
Wang shaowei,Shanxi medical university,2025-02-11T07:50:59.396Z
Glenda Lassi,AstraZeneca,2025-02-07T15:57:26.472Z
Dr. PD Margarida Souto-Carneiro and Dr. Junyan Lu,Heidelberg University Hospital,2025-01-27T22:53:55.761Z
Pranidhi Sood,"Wield Therapeutics, Inc",2025-01-24T23:58:12.133Z
Yukinori Okada,The University of Tokyo,2025-01-24T23:49:45.175Z
Cornelia M. Weyand,Mayo Clinic,2025-01-24T23:43:51.801Z
Wei Wang,UCSD,2025-01-14T23:29:37.352Z
Dr. Michael Dudek,"Institute of Molecular Immunology, TUM, Munich",2025-01-13T17:43:31.678Z
Jiejie Geng,"National Translational Science Center for Molecular Medicine, The Fourth Military Medical University",2025-01-03T23:33:13.154Z
Adam Mor,Columbia University,2024-12-16T18:16:38.376Z
Andreas Schlitzer,"LIMES, Bonn University ",2024-12-16T18:15:51.936Z
Rebecca Batorsky,Tufts University Medford MA,2024-12-06T23:53:18.055Z
Wendi Qin,feixin biotechnology,2024-12-06T23:50:41.314Z
Maria Gutierrez-Arcelus,Boston Children's Hospital ,2024-11-09T00:37:30.647Z
Deconvolution of RA synovial bulk RNAseq,Flinders University,2024-11-04T17:09:35.899Z
Yuhan Hao,Neptune Bio,2024-11-02T02:38:33.434Z
Quan Jiang ,"Guang'anmen Hospital China Academy of Chinese Medical Sciences, Beijing, China.",2024-11-02T02:06:27.186Z
Mohini Gray,University of Edinburgh,2024-11-02T02:02:45.159Z
Shanzhao Jin,Peking University People's Hospital,2024-10-16T18:11:26.893Z
Monica Guma ,UCSD,2024-10-04T21:59:47.527Z
Ruofan Ma,"Department of Orthopedic Surgery, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, Guangdong, China",2024-10-04T21:55:41.444Z
Benson Ogunjimi,University of Antwerp,2024-10-04T21:49:14.867Z
Min He,the Second Clinical College of Guangzhou University of Chinese Medicine,2024-09-20T23:48:21.697Z
Franziska Denk,King's College London,2024-09-20T23:31:22.869Z
Investigating the Role and Mechanism of Metabolic Reprogramming in Rheumatoid Arthritis Progression Based on Single-Cell Sequencing,Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine,2024-09-20T23:21:46.306Z
Yevgeniya Gartshteyn,Columbia University,2024-09-06T19:21:38.556Z
Thomas Yu,Sage Bionetworks,2024-09-05T20:48:35.783Z
Ian McDowell,UCB Biopharma SRL,2024-08-23T23:50:01.887Z
Olivia Lazaro,Indiana Biosciences Research Institute,2024-08-23T23:44:15.762Z
Woogil Song,KAIST (Korea Advanced Institute of Science and Technology),2024-08-14T23:15:24.749Z
Kentaro Yomogida,University of Colorado,2024-07-26T22:22:40.939Z
Chenyang Lu,Sun Yet-sen University,2024-07-25T22:56:01.642Z
Arnold Han,Columbia University Irving Medical Center,2024-07-12T23:24:54.399Z
Colin Logie,"Radboud University, Nijmegen, The Netherlands",2024-07-12T23:23:44.689Z
Kewei Rong,Shanghai Jiaotong University School of Medicine,2024-07-12T23:07:54.269Z
Chunhao Cao,"School of Chinese Medicine, Hong Kong Baptist University, Hong Kong, Hong Kong SAR, China",2024-06-22T00:18:03.955Z
Dr. Ge Gao,Peking University,2024-06-22T00:07:10.561Z
Dr. Mengtao Li,Peking Union Medical College Hospital,2024-06-21T23:52:57.999Z
Dr. Jennifer Elisseeff,Johns Hopkins University,2024-06-13T23:28:45.485Z
Nisarg Shah,"University of California, San Diego",2024-05-29T20:59:39.952Z
Hao Liu,"West China Hospital of Sichuan University, China",2024-05-13T22:48:29.919Z
Julia Frede,"German Cancer Consortium (DKTK) and the University Hospital of LMU Munich, Germany. ",2024-05-13T22:45:46.218Z
Ian Mantel,Weill Cornell Medical College,2024-05-10T21:56:17.256Z
Vincent Wong,Macau University of Science and Technology,2024-05-08T23:17:11.754Z
Rebecca Panitch,Watershed Informatics,2024-05-08T23:09:32.061Z
Thomas Backus,Mass General Brigham ,2024-05-02T22:55:31.286Z
Jonathan Derry,Iris Bioconsulting LLC,2024-05-02T22:31:16.262Z
Wanling Yang,The University of Hong Kong,2024-04-12T22:12:31.384Z
Takako Chikenji,"Department of Health Sciences, Hokkaido University",2024-04-05T22:22:25.181Z
Christopher Buckley,University of Oxford ,2024-04-02T18:31:46.287Z
Erfan Ghasemi,University of Alberta,2024-03-25T20:39:36.422Z
Jean-Philippe Vert,Owkin,2024-03-21T16:53:07.226Z
Gary Reynolds,Mass General Brigham,2024-03-15T17:53:44.986Z
Koshiro Sonomoto,"University of Occupational and Environmental Health, Japan",2024-03-11T18:35:48.053Z
Thierry Sornasse, Abbvie Inc,2024-03-11T18:29:31.790Z
Liye Chen,University of Oxford,2024-03-07T21:46:05.336Z
Antonio JuliÃ ,"IMIDomics, Inc",2024-02-19T18:48:29.380Z
Somkiat Phutinart,"Faculty of Medicine, Chulalongkorn University",2024-02-16T22:36:28.905Z
Frank Cheng,Sonoma Biotherapeutics,2024-02-16T20:48:31.698Z
M Huang,Tsinghua University,2024-02-02T23:11:04.836Z
Minghui Wang,Icahn School of Medicine at Mount Sinai,2024-01-29T22:31:14.118Z
Congmin  Xu,BioMap ,2024-01-23T22:49:24.228Z
James Wingrove,Cellworks,2023-12-15T20:48:51.537Z
Yu-yu Ren,Anaptysbio,2023-12-15T20:46:55.141Z
Chunhao Cao,"School of Chinese Medicine, Hong Kong Baptist University, Hong Kong, Hong Kong SAR, China",2023-12-08T18:11:10.879Z
Shiquan Sun,"Center for Single-Cell Omics and Health, Xi'an Jiaotong University",2023-12-05T00:47:21.910Z
Daniel Wells ,Santa Ana Bio,2023-11-16T22:37:42.505Z
Mike Stadler,Arda Therapeutics,2023-11-16T22:33:55.655Z
Sumanta Ray,University of Bielefeld,2023-10-16T23:25:50.444Z
Mark Lazarus,AstraZeneca,2023-09-18T23:16:29.832Z
Dr Aidan MacNamara,Bayer AG,2023-06-27T20:21:12.348Z
Joel Guthridge,Oklahoma Medical Research Foundation,2023-03-27T23:11:52.163Z
"Patrick M. Gaffney, PhD",Oklahoma Medical Research Foundation,2023-02-10T00:33:26.678Z
Philip De Jager,Columbia University,2023-02-02T01:38:31.071Z
